disease,description
Flu,Flu is a medical condition that affects the body and may require proper diagnosis and treatment.
Cold,Cold is a medical condition that affects the body and may require proper diagnosis and treatment.
COVID-19,COVID-19 is a medical condition that affects the body and may require proper diagnosis and treatment.
Malaria,Malaria is a medical condition that affects the body and may require proper diagnosis and treatment.
Dengue,Dengue is a medical condition that affects the body and may require proper diagnosis and treatment.
Typhoid,Typhoid is a medical condition that affects the body and may require proper diagnosis and treatment.
Asthma,Asthma is a medical condition that affects the body and may require proper diagnosis and treatment.
Diabetes,Diabetes is a medical condition that affects the body and may require proper diagnosis and treatment.
Migraine,Migraine is a medical condition that affects the body and may require proper diagnosis and treatment.
Food Poisoning,Food Poisoning is a medical condition that affects the body and may require proper diagnosis and treatment.
Jaundice,Jaundice is a medical condition that affects the body and may require proper diagnosis and treatment.
Chickenpox,Chickenpox is a medical condition that affects the body and may require proper diagnosis and treatment.
Measles,Measles is a medical condition that affects the body and may require proper diagnosis and treatment.
Arthritis,Arthritis is a medical condition that affects the body and may require proper diagnosis and treatment.
Hypertension,Hypertension is a medical condition that affects the body and may require proper diagnosis and treatment.
Heart Disease,Heart Disease is a medical condition that affects the body and may require proper diagnosis and treatment.
Tuberculosis,Tuberculosis is a medical condition that affects the body and may require proper diagnosis and treatment.
Pneumonia,Pneumonia is a medical condition that affects the body and may require proper diagnosis and treatment.
Allergy,Allergy is a medical condition that affects the body and may require proper diagnosis and treatment.
Kidney Stones,Kidney Stones is a medical condition that affects the body and may require proper diagnosis and treatment.
Hepatitis,Hepatitis is a medical condition that affects the body and may require proper diagnosis and treatment.
Depression,Depression is a medical condition that affects the body and may require proper diagnosis and treatment.
Anxiety,Anxiety is a medical condition that affects the body and may require proper diagnosis and treatment.
Bronchitis,Bronchitis is a medical condition that affects the body and may require proper diagnosis and treatment.
Sinusitis,Sinusitis is a medical condition that affects the body and may require proper diagnosis and treatment.
